CustomerID,Cluster
C0001,0
C0002,0
C0003,0
C0004,1
C0005,0
C0006,2
C0007,2
C0008,1
C0009,0
C0010,3
C0011,0
C0012,1
C0013,1
C0014,3
C0015,0
C0016,2
C0017,1
C0018,1
C0019,0
C0020,0
C0021,1
C0022,1
C0023,2
C0024,0
C0025,3
C0026,2
C0027,0
C0028,1
C0029,0
C0030,0
C0031,0
C0032,3
C0033,3
C0034,0
C0035,0
C0036,0
C0037,2
C0038,0
C0039,1
C0040,2
C0041,1
C0042,2
C0043,3
C0044,2
C0045,1
C0046,1
C0047,0
C0048,2
C0049,3
C0050,2
C0051,1
C0052,0
C0053,1
C0054,1
C0055,0
C0056,0
C0057,1
C0058,0
C0059,1
C0060,3
C0061,0
C0062,0
C0063,0
C0064,2
C0065,1
C0066,2
C0067,0
C0068,1
C0069,0
C0070,0
C0071,3
C0072,0
C0073,0
C0074,2
C0075,1
C0076,0
C0077,3
C0078,2
C0079,2
C0080,2
C0081,0
C0082,1
C0083,3
C0084,1
C0085,2
C0086,0
C0087,1
C0088,0
C0089,2
C0090,0
C0091,0
C0092,0
C0093,1
C0094,3
C0095,0
C0096,2
C0097,3
C0098,0
C0099,1
C0100,2
C0101,1
C0102,1
C0103,0
C0104,1
C0105,1
C0106,0
C0107,0
C0108,1
C0109,1
C0110,0
C0111,3
C0112,0
C0113,1
C0114,2
C0115,2
C0116,0
C0117,2
C0118,0
C0119,3
C0120,0
C0121,3
C0122,1
C0123,0
C0124,1
C0125,0
C0126,1
C0127,0
C0128,0
C0129,0
C0130,0
C0131,0
C0132,0
C0133,0
C0134,0
C0135,0
C0136,1
C0137,0
C0138,2
C0139,0
C0140,0
C0141,1
C0142,0
C0143,1
C0144,3
C0145,1
C0146,0
C0147,0
C0148,1
C0149,1
C0150,0
C0151,3
C0152,0
C0153,1
C0154,0
C0155,1
C0156,1
C0157,3
C0158,2
C0159,0
C0160,0
C0161,0
C0162,1
C0163,1
C0164,0
C0165,1
C0166,0
C0167,0
C0168,2
C0169,1
C0170,2
C0171,2
C0172,3
C0173,1
C0174,0
C0175,1
C0176,0
C0177,0
C0178,0
C0179,0
C0181,0
C0182,1
C0183,0
C0184,0
C0185,2
C0186,0
C0187,2
C0188,1
C0189,0
C0190,0
C0191,0
C0192,0
C0193,0
C0194,0
C0195,1
C0196,2
C0197,0
C0198,3
C0199,0
C0200,1
